Domain: ntp.voipyourphone.com, Feature: tls_root_cert_lifetime, SHAP Value: 4937.00
Domain: tinyhoneybee.com, Feature: tls_root_cert_lifetime, SHAP Value: 4930.00
Domain: update.xz0123.com, Feature: tls_root_cert_lifetime, SHAP Value: 4470.00
Domain: aiacompanystore.com, Feature: tls_root_cert_lifetime, SHAP Value: 4329.00
Domain: dinoyy.xyz, Feature: tls_root_cert_lifetime, SHAP Value: 2986.00
Domain: api.tinyhoneybee.com, Feature: tls_root_cert_lifetime, SHAP Value: 2699.00
Domain: www.cumonprintedpics.com, Feature: tls_root_cert_lifetime, SHAP Value: 2273.00
Domain: r9t1.com, Feature: tls_root_cert_lifetime, SHAP Value: 2088.00
Domain: wincoolgifts.online, Feature: tls_root_cert_lifetime, SHAP Value: 1774.00
Domain: network-host.cf, Feature: tls_root_cert_lifetime, SHAP Value: 1600.00
Domain: torrentsmd.me, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: call.easy2convert4.me, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: ytmp3.nu, Feature: tls_root_cert_validity_len, SHAP Value: 1349.00
Domain: eduid.ng, Feature: tls_root_cert_lifetime, SHAP Value: 1277.00
Domain: cpestatus.seagateshare.com, Feature: tls_root_cert_lifetime, SHAP Value: 1277.00
Domain: services.keepersecurity.eu, Feature: tls_root_cert_lifetime, SHAP Value: 1138.00
Domain: www.shorturl.at, Feature: tls_root_cert_lifetime, SHAP Value: 1135.00
Domain: indigolbs.dinoyy.xyz, Feature: tls_root_cert_lifetime, SHAP Value: 1134.00
Domain: escambiak12.edu, Feature: tls_root_cert_lifetime, SHAP Value: 1134.00
Domain: thor.prod.tvall.cn, Feature: tls_root_cert_lifetime, SHAP Value: 1124.00
Domain: 60493198aa70ac43b4249ef4.endpoint.csper.io, Feature: tls_root_cert_lifetime, SHAP Value: 1057.00
Domain: wifihotspot.hu, Feature: tls_root_cert_lifetime, SHAP Value: 836.00
Domain: wikitextbooks.info, Feature: tls_root_cert_lifetime, SHAP Value: 836.00
Domain: smartstreet.shopinet.xyz, Feature: tls_root_cert_lifetime, SHAP Value: 833.00
Domain: epiccareeverywhere.addenbrookes.nhs.uk, Feature: tls_root_cert_lifetime, SHAP Value: 778.00
Domain: salesos.yqluck.com, Feature: tls_root_cert_lifetime, SHAP Value: 771.00
Domain: gfbemail.bbva-bancomer.com, Feature: tls_root_cert_lifetime, SHAP Value: 450.00
Domain: yggnode.cf, Feature: dns_zone_len, SHAP Value: 16.00
Domain: accounts-account-service-prod.hydra.prod.wwrk.co, Feature: rdap_ip_v4_count, SHAP Value: 10.00
Domain: lt.logly.co.jp, Feature: rdap_ip_v4_count, SHAP Value: 8.00
Domain: smart.tinyhoneybee.com, Feature: rdap_ip_v4_count, SHAP Value: 8.00
Domain: stat.speed-app.com, Feature: rdap_ip_v4_count, SHAP Value: 8.00
Domain: api.html5media.info, Feature: rdap_ip_v4_count, SHAP Value: 6.00
Domain: advertisement.alibabacorp.sm.cn, Feature: lex_avg_part_len, SHAP Value: 3.33
Domain: farehitchlower.icu, Feature: dns_zone_len, SHAP Value: 3.00
Domain: up.surfsharking.com, Feature: dns_zone_len, SHAP Value: 1.00
Domain: androidevlog.com, Feature: lex_tld_abuse_score, SHAP Value: 0.66
Domain: www.qqgametimes.com, Feature: lex_tld_abuse_score, SHAP Value: 0.66
Domain: gpvjyx.ssptp4.com, Feature: lex_tld_abuse_score, SHAP Value: 0.66
Domain: addresseepaper.com, Feature: lex_tld_abuse_score, SHAP Value: 0.66
Domain: avt-usa.net, Feature: lex_tld_abuse_score, SHAP Value: 0.66
Domain: blessifyinfotech.com, Feature: lex_tld_abuse_score, SHAP Value: 0.66
Domain: ulfbrueggemann.no-ip.org, Feature: lex_tld_abuse_score, SHAP Value: 0.10
Domain: toubiz.de, Feature: lex_tld_abuse_score, SHAP Value: 0.10
Domain: legitville.com, Feature: lex_tld_abuse_score, SHAP Value: 0.10
Domain: www.blogpeople.net, Feature: lex_tld_abuse_score, SHAP Value: 0.10
Domain: raisingteenstoday.com, Feature: lex_tld_abuse_score, SHAP Value: 0.10
Domain: hkoptimize.com, Feature: lex_tld_abuse_score, SHAP Value: 0.00
Domain: www.adtaginformer.com, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: wmkankan.com, Feature: rdap_registrar_name_hash, SHAP Value: 0.00
Domain: logoff.fr, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: ginrummyandgames.com, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: adtaginformer.com, Feature: rdap_registrar_name_hash, SHAP Value: 0.00
Domain: cygnetinfotechmanagedservices.com, Feature: lex_tld_abuse_score, SHAP Value: 0.00
Domain: g3telecompi.com.br, Feature: dns_ttl_low, SHAP Value: 0.00
Domain: mailstream-central.mxrecord.mx, Feature: dns_ttl_low, SHAP Value: 0.00
